Downloaded,ID,Type,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Content,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,
,Done,410,"



Pesquisadores Desenvolvedores Comitê de Etica",,,,,Pesquisadores Desenvolvedores Comitê de Etica,"rayyan-197783250,Good Practice Data Linkage (GPD): A Translation of the German Version.,2020,10,27,International journal of environmental research and public health,1660-4601 (Electronic),17,21,,March S and Andrich S and Drepper J and Horenkamp-Sonntag D and Icks A and Ihle P and Kieschke J and Kollhorst B and Maier B and Meyer I and Müller G and Ohlmeier C and Peschke D and Richter A and Rosenbusch ML and Scholten N and Schulz M and Stallmann C and Swart E and Wobbe-Ribinski S and Wolter A and Zeidler J and Hoffmann F,https://pubmed.ncbi.nlm.nih.gov/33120886/,eng,,Switzerland,""The data linkage of different data sources for research purposes is being increasingly used in recent years. However, generally accepted methodological guidance is missing. The aim of this article is to provide methodological guidelines and recommendations for research projects that have been consented to across different German research societies. Another aim is to endow readers with a checklist for the critical appraisal of research proposals and articles. This Good Practice Data Linkage (GPD) was already published in German in 2019, but the aspects mentioned can easily be transferred to an international context, especially for other European Union (EU) member states. Therefore, it is now also published in English. Since 2016, an expert panel of members of different German scientific societies have worked together and developed seven guidelines with a total of 27 practical recommendations. These recommendations include (1) the research objectives, research questions, data sources, and resources", (2) the data infrastructure and data flow, (3) data protection, (4) ethics, (5) the key variables and linkage methods, (6) data validation/quality assurance," and (7) the long-term use of data for questions still to be determined. The authors provide a rationale for each recommendation. Future revisions will include new developments in science and updates of data privacy regulations."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.3390/ijerph17217852,Information Storage and Retrieval/*standards",Language,
,Done,412,"



Pesquisadores Desenvolvedores Profissionais População Comitê de Etica",,,,,Pesquisadores Desenvolvedores Profissionais População Comitê de Etica,"rayyan-197783257,Ethical issues in using Twitter for population-level depression monitoring: a qualitative study.,2016,4,14,BMC medical ethics,1472-6939 (Electronic),17,,22,Mikal J and Hurst S and Conway M,https://pubmed.ncbi.nlm.nih.gov/27080238/,eng,,England,""BACKGROUND: Recently, significant research effort has focused on using Twitter (and other social media) to investigate mental health at the population-level. While there has been influential work in developing ethical guidelines for Internet discussion forum-based research in public health, there is currently limited work focused on addressing ethical problems in Twitter-based public health research, and less still that considers these issues from users' own perspectives. In this work, we aim to investigate public attitudes towards utilizing public domain Twitter data for population-level mental health monitoring using a qualitative methodology. METHODS: The study explores user perspectives in a series of five, 2-h focus group interviews. Following a semi-structured protocol, 26 Twitter users with and without a diagnosed history of depression discussed general Twitter use, along with privacy expectations, and ethical issues in using social media for health monitoring, with a particular focus on mental health monitoring. Transcripts were then transcribed, redacted, and coded using a constant comparative approach. RESULTS: While participants expressed a wide range of opinions, there was an overall trend towards a relatively positive view of using public domain Twitter data as a resource for population level mental health monitoring, provided that results are appropriately aggregated. Results are divided into five sections: (1) a profile of respondents' Twitter use patterns and use variability"," (2) users' privacy expectations, including expectations regarding data reach and permanence"," (3) attitudes towards social media based population-level health monitoring in general, and attitudes towards mental health monitoring in particular", (4) attitudes towards individual versus population-level health monitoring," and (5) users' own recommendations for the appropriate regulation of population-level mental health monitoring. CONCLUSIONS: Focus group data reveal a wide range of attitudes towards the use of public-domain social media """"big data"""" in population health research, from enthusiasm, through acceptance, to opposition. Study results highlight new perspectives in the discussion of ethical use of public data, particularly with respect to consent, privacy, and oversight."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12910-016-0105-5,Adult",*Attitude,*Depression,Female,
,Done,413,"



Pesquisadores Profissionais Desenvolvedores População Comitê de Etica",,,,,Pesquisadores Profissionais Desenvolvedores População Comitê de Etica,"rayyan-197783259,Statement on bioinformatics and capturing the benefits of genome sequencing for society.,2019,5,29,Human genomics,1479-7364 (Electronic),13,1,24,Capps B and Chadwick R and Joly Y and Lysaght T and Mills C and Mulvihill JJ and Zwart H,https://pubmed.ncbi.nlm.nih.gov/31142362/,eng,,England,""The HUGO Committee on Ethics, Law and Society (CELS) undertook a Working Group exploration of the key ethical issues arising from genome sequencing in 2013. The Imagined Futures paper the group subsequently published proposed points to consider when applying genomic bioinformatics to data repositories used in genomic medicine and research ( http://www.hugo-international.org/Resources/Documents/CELS_Article-ImaginedFutures_2014.pdf ). Given the ever-increasing power to sequence the human genome rapidly and inexpensively-as well as trends toward """"Big Data"""" and """"Open Science""""-we take this opportunity to update and refine the key findings of that paper."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s40246-019-0208-4,""Big Data",Chromosome Mapping,Computational Biology/*trends,"Genome, Human/*genetics",Genomics/*trends,Humans,"Whole Genome Sequencing/*trends"",31142362,PMC6542037",,
,Done,414,"



Desenvolvedores Profissionais Pesquisadores População",,,,,Desenvolvedores Profissionais Pesquisadores População,"rayyan-197783261,Explainable unsupervised anomaly detection for healthcare insurance data.,2025,1,9,BMC medical informatics and decision making,1472-6947 (Electronic),25,1,14,De Meulemeester H and De Smet F and van Dorst J and Derroitte E and De Moor B,https://pubmed.ncbi.nlm.nih.gov/39789541/,eng,,England,""BACKGROUND: Waste and fraud are important problems for health insurers to deal with. With the advent of big data, these insurers are looking more and more towards data mining and machine learning methods to help in detecting waste and fraud. However, labeled data is costly and difficult to acquire as it requires expert investigators and known care providers with atypical behavior. METHODS: In this work we show how recent advances in machine learning can be used to set up a workflow that can aid investigators in discovering practitioners or groups of practitioners with unusual resource use in order to more efficiently combat waste and fraud. We combine three different techniques, which have not been used in the context of healthcare insurance anomaly detection: categorical embeddings to deal with high-cardinality categorical variables, state-of-the-art unsupervised anomaly detection techniques to detect anomalies and Shapley additive explanations (SHAP) to explain the model output. RESULTS: The method has been evaluated on providers with a known anomalous profile and with the help of experts of the largest health insurance fund in Belgium. The quantitative experiments show that categorical embeddings offer a significant improvement compared to standard methods and that the state-of-the-art unsupervised anomaly detection techniques generally show an improvement over traditional methods. In a practical setting, the proposed workflow with SHAP was able to detect a previously unknown, anomalous trend among general practitioners. CONCLUSIONS: The proposed workflow is able to detect known care providers with atypical behaviour and helps expert investigators in making informed decisions concerning possible fraud or overconsumption in the health insurance field."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12911-024-02823-6,""Humans","*Insurance, Health",Data Mining,Fraud,Belgium,"Unsupervised Machine Learning"",39789541,PMC11720628",,,
,Done,416,"



Pesquisadores Profissionais",,,,,Pesquisadores Profissionais,"rayyan-197783264,An Online Training Program to Improve Clinicians' Skills in Communicating About Serious Illness.,2022,5,1,""American journal of critical care : an official publication, American Association           of Critical-Care Nurses"",1937-710X (Electronic),31,3,189-201,Gautier WC and Abaye M and Dev S and Seaman JB and Butler RA and Norman MK and Arnold RM and Witteman HO and Cook TE and Mohan D and White DB,https://pubmed.ncbi.nlm.nih.gov/35466353/,eng,,United States,""BACKGROUND: Large-scale efforts to train clinicians in serious-illness communication skills are needed, but 2 important gaps in knowledge remain. (1) No proven training method exists that can be readily scaled to train thousands of clinicians. (2) Though the value of interprofessional collaboration to support incapacitated patients' surrogates is increasingly recognized, few interventions for training intensive care unit (ICU) nurses in important communication skills can be leveraged to provide interprofessional family support. OBJECTIVE: To develop and test a web/videoconference-based platform to train nurses to communicate about serious illness. METHODS: A user-centered process was used to develop the intervention, including (1) iteratively engaging a stakeholder panel, (2) developing prototype and beta versions of the platform, and (3) 3 rounds of user testing with 13 ICU nurses. Participants' ratings of usability, acceptability, and perceived effectiveness were assessed quantitatively and qualitatively. RESULTS: Stakeholders stressed that the intervention should leverage interactive learning and a streamlined digital interface. A training platform was developed consisting of 6 interactive online training lessons and 3 group-based video-conference practice sessions. Participants rated the program as usable (mean summary score 84 [96th percentile]), acceptable (mean, 4.5/5"," SD, 0.7), and effective (mean, 4.8/5"," SD, 0.6). Ten of 13 nurses would recommend the intervention over 2-day in-person training. CONCLUSIONS: Nurses testing this web-based training program judged it usable, acceptable, and effective. These data support proceeding with an appropriately powered efficacy trial."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.4037/ajcc2022105,""*Communication","Education, Distance","Education, Nursing",Humans,*Intensive Care Units,"*Nurses"",35466353,PMC10316342",
,Done,417,"



Pesquisadores Profissionais Comitê de Etica",,,,,Pesquisadores Profissionais Comitê de Etica,"rayyan-197783265,Machine learning in medicine: a practical introduction.,2019,3,19,BMC medical research methodology,1471-2288 (Electronic),19,1,64,Sidey-Gibbons JAM and Sidey-Gibbons CJ,https://pubmed.ncbi.nlm.nih.gov/30890124/,eng,,England,""BACKGROUND: Following visible successes on a wide range of predictive tasks, machine learning techniques are attracting substantial interest from medical researchers and clinicians. We address the need for capacity development in this area by providing a conceptual introduction to machine learning alongside a practical guide to developing and evaluating predictive algorithms using freely-available open source software and public domain data. METHODS: We demonstrate the use of machine learning techniques by developing three predictive models for cancer diagnosis using descriptions of nuclei sampled from breast masses. These algorithms include regularized General Linear Model regression (GLMs), Support Vector Machines (SVMs) with a radial basis function kernel, and single-layer Artificial Neural Networks. The publicly-available dataset describing the breast mass samples (N=683) was randomly split into evaluation (n=456) and validation (n=227) samples. We trained algorithms on data from the evaluation sample before they were used to predict the diagnostic outcome in the validation dataset. We compared the predictions made on the validation datasets with the real-world diagnostic decisions to calculate the accuracy, sensitivity, and specificity of the three models. We explored the use of averaging and voting ensembles to improve predictive performance. We provide a step-by-step guide to developing algorithms using the open-source R statistical programming environment. RESULTS: The trained algorithms were able to classify cell nuclei with high accuracy (.94 -.96), sensitivity (.97 -.99), and specificity (.85 -.94). Maximum accuracy (.96) and area under the curve (.97) was achieved using the SVM algorithm. Prediction performance increased marginally (accuracy =.97, sensitivity =.99, specificity =.95) when algorithms were arranged into a voting ensemble. CONCLUSIONS: We use a straightforward example to demonstrate the theory and practice of machine learning for clinicians and medical researchers. The principals which we demonstrate here can be readily applied to other complex tasks including natural language processing and image recognition."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12874-019-0681-4,""*Algorithms",Breast Neoplasms/*diagnosis,"Diagnosis, Computer-Assisted/*methods",Female,Humans,*Machine Learning,"*Neural Networks, Computer",Sensitivity and Specificity,
,Done,418,"



Pesquisadores Desenvolvedores Profissionais População Comitê de Etica",,,,,Pesquisadores Desenvolvedores Profissionais População Comitê de Etica,"rayyan-197783266,FHIR PIT: a geospatial and spatiotemporal data integration pipeline to support subject-level clinical research.,2025,1,15,BMC medical informatics and decision making,1472-6947 (Electronic),25,1,24,Fecho K and Garcia JJ and Yi H and Roupe G and Krishnamurthy A,https://pubmed.ncbi.nlm.nih.gov/39810200/,eng,,England,""BACKGROUND: Environmental exposures such as airborne pollutant exposures and socio-economic indicators are increasingly recognized as important to consider when conducting clinical research using electronic health record (EHR) data or other sources of clinical data such as survey data. While numerous public sources of geospatial and spatiotemporal data are available to support such research, the data are challenging to work with due to inconsistencies in file formats and spatiotemporal resolutions, computational challenges with large file sizes, and a lack of tools for patient- or subject-level data integration. RESULTS: We developed FHIR PIT (HL7® Fast Healthcare Interoperability Resources Patient data Integration Tool) as an open-source, modular, data-integration software pipeline that consumes EHR data in FHIR® format and integrates the data at the level of the patient or subject with environmental exposures data of varying spatiotemporal resolutions and file formats. We applied FHIR PIT to generate """"integrated feature tables"""" containing patient- or subject-level EHR data integrated with environmental exposures data on two cohorts: one on patients with asthma and related common pulmonary disorders"," and a second on patients with primary ciliary dyskinesia and related rare pulmonary disorders. The data were then exposed via the open Integrated Clinical and Environmental Exposures Service, which was then queried to explore relationships between exposures to two representative airborne pollutants (particulate matter and ozone) and annual emergency department or inpatient visits for respiratory issues. We found that hospitalizations for respiratory issues were more common among patients exposed to relatively high levels of particulate matter and ozone and were higher overall among patients with primary ciliary dyskinesia than among patients with asthma. CONCLUSIONS: Our manuscript describes a major release of FHIR PIT v1.0 and includes a technical demonstration use case and a clinical application on the use of FHIR PIT to support research on environmental exposures and health outcomes related to asthma and primary ciliary dyskinesia. For application of the tool to common data models (CDMs) other than FHIR, we offer open-source conversion tools to map from the PCORnet, i2b2, and OMOP CDMs to FHIR."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12911-024-02815-6,Humans",*Electronic Health Records,Biomedical Research,Asthma/epidemiology,Environmental Exposure/adverse effects,Spatio-Temporal Analysis,Software,"*Students, Medical"
,Done,419,"



Pesquisadores Desenvolvedores Profissionais",,,,,Pesquisadores Desenvolvedores Profissionais,"rayyan-197783267,Matching disease and phenotype ontologies in the ontology alignment evaluation initiative.,2017,12,2,Journal of biomedical semantics,2041-1480 (Electronic),8,1,55,Harrow I and Jiménez-Ruiz E and Splendiani A and Romacker M and Woollard P and Markel S and Alam-Faruque Y and Koch M and Malone J and Waaler A,https://pubmed.ncbi.nlm.nih.gov/29197409/,eng,,England,""BACKGROUND: The disease and phenotype track was designed to evaluate the relative performance of ontology matching systems that generate mappings between source ontologies. Disease and phenotype ontologies are important for applications such as data mining, data integration and knowledge management to support translational science in drug discovery and understanding the genetics of disease. RESULTS: Eleven systems (out of 21 OAEI participating systems) were able to cope with at least one of the tasks in the Disease and Phenotype track. AML, FCA-Map, LogMap(Bio) and PhenoMF systems produced the top results for ontology matching in comparison to consensus alignments. The results against manually curated mappings proved to be more difficult most likely because these mapping sets comprised mostly subsumption relationships rather than equivalence. Manual assessment of unique equivalence mappings showed that AML, LogMap(Bio) and PhenoMF systems have the highest precision results. CONCLUSIONS: Four systems gave the highest performance for matching disease and phenotype ontologies. These systems coped well with the detection of equivalence matches, but struggled to detect semantic similarity. This deserves more attention in the future development of ontology matching systems. The findings of this evaluation show that such systems could help to automate equivalence matching in the workflow of curators, who maintain ontology mapping services in numerous domains such as disease and phenotype."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s13326-017-0162-9,*Biological Ontologies",Consensus,*Disease,Humans,"*Phenotype,29197409,PMC5712086",,,,
,Done,420,"



Pesquisadores Profissionais",,,,,Pesquisadores Profissionais,"rayyan-197783270,The GP tests of competence assessment: which part best predicts fitness to practise decisions?,2018,1,2,BMC medical education,1472-6920 (Electronic),18,1,2,Jayaweera HK and Potts HWW and Keshwani K and Valerio C and Baker M and Mehdizadeh L and Sturrock A,https://pubmed.ncbi.nlm.nih.gov/29291735/,eng,,England,""BACKGROUND: The General Medical Council (GMC) conducts Tests of Competence (ToC) for doctors referred for Fitness to Practise (FtP) issues. GPs take a single best answer knowledge test, an Objective Structured Clinical Examination (OSCE), and a Simulated Surgery (SimSurg) assessment which is a simulated GP consultation. The aim of this study was to examine the similarities between OSCEs and SimSurg to determine whether each assessment contributed something unique to GP ToCs. METHODS: A mixed methods approach was used. Data were collated on 153 GPs who were required to undertake a ToC as a part of being investigated for FtP issues between February 2010 and October 2016. Using correlation analysis, we examined to what degree performance on the knowledge test, OSCE, and SimSurg related to case examiner recommendations and FtP outcomes, including the unique predictive power of these three assessments. The outcome measures were case examiner recommendations (i) not fit to practise", ii) fit to practise on a limited basis, or iii) fit to practise) as well as FtP outcomes (i) erased/removed from the register, ii) having restrictions/conditions," or iii) be in good standing). For the qualitative component, 45 GP assessors were asked to rate whether they assess the same competencies and which assessment provides better feedback about candidates. RESULTS: There was significant overlap between OSCEs and SimSurg, p < 0.001. SimSurg had additional predictive power in the presence of OSCEs and the knowledge test (p = 0.030) in distinguishing doctors from different FtP categories, while OSCEs did not (p = 0.080). Both the OSCEs (p = 0.004) and SimSurg (p < 0.001) had significant negative correlations with case examiner recommendations when accounting for the effects of the other two assessments. Inductive thematic analysis of the responses to the questionnaire showed that assessors perceived OSCEs to be better suited to target specific knowledge and skills. SimSurg was thought to produce a more global picture as the scenarios more accurately portray a patient consultation. CONCLUSION: While all three assessments are strong predictors of both case examiner recommendations and FtP outcomes, our findings suggest that the efficiency of GP ToCs can be improved by removing some of this overlapping content."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12909-017-1111-0,*Clinical Competence",Humans,Physicians/*standards,State Medicine,
,Done,421,"



Pesquisadores, Profissionais População, Desenvolvedores",,,,,"Pesquisadores, Profissionais População, Desenvolvedores","rayyan-197783274,Back on track - digital health applications to treat back pain of rheumatic patients? Results of a qualitative interview study.,2024,12,,Rheumatology international,1437-160X (Electronic),44,12,2977-2987,Boy K and May S and Labinsky H and Morf H and Heinze M and Leipe J and Kuhn S and Schett G and Knitza J and Muehlensiepen F,https://pubmed.ncbi.nlm.nih.gov/39340666/,eng,,Germany,""Non-specific low back pain (NLBP) is prevalent among patients with rheumatic conditions. Digital health applications (DiGAs) provide reimbursed, personalized home treatment for patients, promising to overcome limitations of traditional healthcare systems. However, the adoption and effectiveness of back pain-specific DiGAs in rheumatology are not well understood. This study aims to explore the experiences and perspectives of a diverse group of rheumatology stakeholders regarding the use of DiGAs for back pain management. Qualitative interviews and a focus group discussion were conducted with a wide range of stakeholders including rheumatic patients, rheumatologists, nurses and DiGA producers. The data were analysed using qualitative content analysis. The study included 15 interviews (10 rheumatic patients, 4 rheumatologists, 1 DiGA producer) and 1 focus group with mixed participants (n = 12). Most stakeholders valued the instant access to personalized and effective back pain treatment provided by DiGAs. Patients appreciated the flexibility and ease of use of DiGAs which can be used anywhere and anytime. Concerns were raised about insufficient guidance regarding correct execution of exercises, which was seen as potentially dangerous and unsettling for patients. Healthcare professionals (HCPs) highlighted barriers, such as the lack of reimbursement, time constraints, and inadequate DiGA-specific education as barriers to prescribing DiGAs. Additionally, poor patient onboarding often led to delays, increased skepticism, and premature discontinuation of therapy. Stakeholders emphasized the challenges of current care driven by a shortage of HCPs and generally supported usage of back pain DiGAs. Various barriers and solution approaches were identified to enhance the performance, usability, and implementation of DiGAs in rheumatology."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1007/s00296-024-05726-x,Humans",*Qualitative Research,Male,*Rheumatic Diseases/therapy/complications,Female,Middle Aged,Adult,*Low Back Pain/therapy,
,Done,423,"



Pesquisadores Desenvolvedores",,,,,Pesquisadores Desenvolvedores,"rayyan-197783278,Aggregating the syntactic and semantic similarity of healthcare data towards their transformation to HL7 FHIR through ontology matching.,2019,12,,International journal of medical informatics,1872-8243 (Electronic),132,,104002,Kiourtis A and Nifakos S and Mavrogiorgou A and Kyriazis D,https://pubmed.ncbi.nlm.nih.gov/31629311/,eng,,Ireland,""BACKGROUND AND OBJECTIVE: Healthcare systems deal with multiple challenges in releasing information from data silos, finding it almost impossible to be implemented, maintained and upgraded, with difficulties ranging in the technical, security and human interaction fields. Currently, the increasing availability of health data is demanding data-driven approaches, bringing the opportunities to automate healthcare related tasks, providing better disease detection, more accurate prognosis, faster clinical research advance and better fit for patient management. In order to share data with as many stakeholders as possible, interoperability is the only sustainable way for letting systems to talk with one another and getting the complete image of a patient. Thus, it becomes clear that an efficient solution in the data exchange incompatibility is of extreme importance. Consequently, interoperability can develop a communication framework between non-communicable systems, which can be achieved through transforming healthcare data into ontologies. However, the multidimensionality of healthcare domain and the way that is conceptualized, results in the creation of different ontologies with contradicting or overlapping parts. Thus, an effective solution to this problem is the development of methods for finding matches among the various components of ontologies in healthcare, in order to facilitate semantic interoperability. METHODS: The proposed mechanism promises healthcare interoperability through the transformation of healthcare data into the corresponding HL7 FHIR structure. In more detail, it aims at building ontologies of healthcare data, which are later stored into a triplestore. Afterwards, for each constructed ontology the syntactic and semantic similarities with the various HL7 FHIR Resources ontologies are calculated, based on their Levenshtein distance and their semantic fingerprints accordingly. Henceforth, after the aggregation of these results, the matching to the HL7 FHIR Resources takes place, translating the healthcare data into a widely adopted medical standard. RESULTS: Through the derived results it can be seen that there exist cases that an ontology has been matched to a specific HL7 FHIR Resource due to its syntactic similarity, whereas the same ontology has been matched to a different HL7 FHIR Resource due to its semantic similarity. Nevertheless, the developed mechanism performed well since its matching results had exact match with the manual ontology matching results, which are considered as a reference value of high quality and accuracy. Moreover, in order to furtherly investigate the quality of the developed mechanism, it was also evaluated through its comparison with the Alignment API, as well as the non-dominated sorting genetic algorithm (NSGA-III) which provide ontology alignment. In both cases, the results of all the different implementations were almost identical, proving the developed mechanism's high efficiency, whereas through the comparison with the NSGA-III algorithm, it was observed that the developed mechanism needs additional improvements, through a potential adoption of the NSGA-III technique. CONCLUSIONS: The developed mechanism creates new opportunities in conquering the field of healthcare interoperability. However, according to the mechanism's evaluation results, it is almost impossible to create syntactic or semantic patterns for understanding the nature of a healthcare dataset. Hence, additional work should be performed in evaluating the developed mechanism, and updating it with respect to the results that will derive from its comparison with similar ontology matching mechanisms and data of multiple nature."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1016/j.ijmedinf.2019.104002,""Algorithms",*Biological Ontologies,Delivery of Health Care/*standards,Electronic Health Records/*standards,Health Level Seven,Humans,Information Dissemination/*methods,*Semantics,
,Done,424,"



Pesquisadores Profissionais Desenvolvedores",,,,,Pesquisadores Profissionais Desenvolvedores,"rayyan-197783280,Enhancing prehospital decision-making: exploring user needs and design considerations for clinical decision support systems.,2025,1,17,BMC medical informatics and decision making,1472-6947 (Electronic),25,1,31,Bai E and Zhang Z and Xu Y and Luo X and Adelgais K,https://pubmed.ncbi.nlm.nih.gov/39825293/,eng,,England,""BACKGROUND: In prehospital emergency care, providers face significant challenges in making informed decisions due to factors such as limited cognitive support, high-stress environments, and lack of experience with certain patient conditions. Effective Clinical Decision Support Systems (CDSS) have great potential to alleviate these challenges. However, such systems have not yet been widely adopted in real-world practice and have been found to cause workflow disruptions and usability issues. Therefore, it is critical to investigate how to design CDSS that meet the needs of prehospital providers while accounting for the unique characteristics of prehospital workflows. METHODS: We conducted semi-structured interviews with 20 prehospital providers recruited from four Emergency Medical Services (EMS) agencies in an urban area in the northeastern U.S. The interviews focused on the decision-making challenges faced by prehospital providers, their technological needs for decision support, and key considerations for the design and implementation of a CDSS that can seamlessly integrate into prehospital care workflows. The data were analyzed using content analysis to identify common themes. RESULTS: Our qualitative study identified several challenges in prehospital decision-making, including limited access to diagnostic tools, insufficient experience with certain critical patient conditions, and a lack of cognitive support. Participants highlighted several desired features to make CDSS more effective in the dynamic, hands-busy, and cognitively demanding prehospital context, such as automatic prompts for possible patient conditions and treatment options, alerts for critical patient safety events, AI-powered medication identification, and easy retrieval of protocols using hands-free methods (e.g., voice commands). Key considerations for successful CDSS adoption included balancing the frequency and urgency of alerts to reduce alarm fatigue and workflow disruptions, facilitating real-time data collection and documentation to enable decision generation, and ensuring trust and accountability while preventing over-reliance when using CDSS. CONCLUSION: This study provides empirical insights into the challenges and user needs in prehospital decision-making and offers practical and system design implications for addressing these issues."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12911-024-02844-1,""Humans",*Emergency Medical Services,"*Decision Support Systems, Clinical",*Clinical Decision-Making,Adult,Qualitative Research,Male,Female,
,Done,426,"



Pesquisadores Desenvolvedores",,,,,Pesquisadores Desenvolvedores,"rayyan-197783284,Integrating terminologies into standard SQL: a new approach for research on routine data.,2019,4,24,Journal of biomedical semantics,2041-1480 (Electronic),10,1,7,Sander A and Wauer R,https://pubmed.ncbi.nlm.nih.gov/31014403/,eng,,England,""BACKGROUND: Most electronic medical records still contain large amounts of free-text data. Semantic evaluation of such data requires the data to be encoded with sufficient classifications or transformed into a knowledge-based database. METHODS: We present an approach that allows databases accessible via SQL (Structured Query Language) to be searched directly through semantic queries without the need for further transformations. Therefore, we developed I) an extension to SQL named Ontology-SQL (O-SQL) that allows to use semantic expressions, II) a framework that uses a standard terminology server to annotate free-text containing database tables and III) a parser that rewrites O-SQL to SQL, so that such queries can be passed to the database server. RESULTS: I) We compared several semantic queries published to date and were able to reproduce them in a reduced, highly condensed form. II) The quality of the annotation process was measured against manual annotation, and we found a sensitivity of 97.62% and a specificity of 100.00%. III) Different semantic queries were analyzed, and measured with F-scores between 0.91 and 0.98. CONCLUSIONS: We showed that systematic analysis of free-text-containing medical records is possible with standard tools. The seamless connection of ontologies and standard technologies from the database field represents an important constituent of unstructured data analysis. The developed technology can be readily applied to relationally organized data and supports the increasingly important field of translational research."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s13326-019-0199-z,Data Mining/*methods",Electronic Health Records,*Programming Languages,"*Semantics,31014403,PMC6480592",,,,,
,Done,427,"



Pesquisadores Desenvolvedores",,,,,Pesquisadores Desenvolvedores,"rayyan-197783287,CEDAR OnDemand: a browser extension to generate ontology-based scientific metadata.,2018,7,16,BMC bioinformatics,1471-2105 (Electronic),19,1,268,Bukhari SAC and Martínez-Romero M and O' Connor MJ and Egyedi AL and Willrett D and Graybeal J and Musen MA and Cheung KH and Kleinstein SH,https://pubmed.ncbi.nlm.nih.gov/30012108/,eng,,England,""BACKGROUND: Public biomedical data repositories often provide web-based interfaces to collect experimental metadata. However, these interfaces typically reflect the ad hoc metadata specification practices of the associated repositories, leading to a lack of standardization in the collected metadata. This lack of standardization limits the ability of the source datasets to be broadly discovered, reused, and integrated with other datasets. To increase reuse, discoverability, and reproducibility of the described experiments, datasets should be appropriately annotated by using agreed-upon terms, ideally from ontologies or other controlled term sources. RESULTS: This work presents """"CEDAR OnDemand"""", a browser extension powered by the NCBO (National Center for Biomedical Ontology) BioPortal that enables users to seamlessly enter ontology-based metadata through existing web forms native to individual repositories. CEDAR OnDemand analyzes the web page contents to identify the text input fields and associate them with relevant ontologies which are recommended automatically based upon input fields' labels (using the NCBO ontology recommender) and a pre-defined list of ontologies. These field-specific ontologies are used for controlling metadata entry. CEDAR OnDemand works for any web form designed in the HTML format. We demonstrate how CEDAR OnDemand works through the NCBI (National Center for Biotechnology Information) BioSample web-based metadata entry. CONCLUSION: CEDAR OnDemand helps lower the barrier of incorporating ontologies into standardized metadata entry for public data repositories. CEDAR OnDemand is available freely on the Google Chrome store https://chrome.google.com/webstore/search/CEDAROnDemand."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12859-018-2247-6,Algorithms",*Biological Ontologies,Humans,*Internet,*Metadata,"*Software,30012108,PMC6048706",,,
